edos_label,num_candidate_cards,num_sources,source_ids,num_secondary_links,example_card_ids
1.1 threats of harm,5,3,EU_DIRECTIVE_2024_1385; EU_PARL_2021_RESOLUTION_CYBERVIOLENCE; GREVIO_2021_DIGITAL_DIMENSION,4,EDOS_CARD_001; EDOS_CARD_002; EDOS_CARD_003; EDOS_CARD_004; EDOS_CARD_005
1.2 incitement and encouragement of harm,5,3,EU_DIRECTIVE_2024_1385; EU_PARL_2021_RESOLUTION_CYBERVIOLENCE; UNFPA_2021_TFGBV,5,EDOS_CARD_006; EDOS_CARD_007; EDOS_CARD_008; EDOS_CARD_009; EDOS_CARD_010
2.1 descriptive attacks,5,4,GLICK_FISKE_1996_ASI; SAGE_2017_AMBIVALENT_SEXISM; UN_WOMEN_2023_TFVAW; WHO_VAW_FACT_SHEET,5,EDOS_CARD_011; EDOS_CARD_012; EDOS_CARD_013; EDOS_CARD_014; EDOS_CARD_015
2.2 aggressive and emotive attacks,5,4,EU_PARL_2021_RESOLUTION_CYBERVIOLENCE; GREVIO_2021_DIGITAL_DIMENSION; UNFPA_2021_TFGBV; WOMEN_HARM_JUSTICE_2023,5,EDOS_CARD_016; EDOS_CARD_017; EDOS_CARD_018; EDOS_CARD_019; EDOS_CARD_020
2.3 dehumanising attacks & overt sexual objectification,5,4,EU_DIRECTIVE_2024_1385; EU_PARL_2021_RESOLUTION_CYBERVIOLENCE; SAGE_2017_AMBIVALENT_SEXISM; UN_WOMEN_2023_TFVAW,5,EDOS_CARD_021; EDOS_CARD_022; EDOS_CARD_023; EDOS_CARD_024; EDOS_CARD_025
"3.1 casual use of gendered slurs, profanities, and insults",5,5,EU_PARL_2021_RESOLUTION_CYBERVIOLENCE; GREVIO_2021_DIGITAL_DIMENSION; UN_WOMEN_2023_TFVAW; WHO_VAW_FACT_SHEET; WOMEN_HARM_JUSTICE_2023,5,EDOS_CARD_026; EDOS_CARD_027; EDOS_CARD_028; EDOS_CARD_029; EDOS_CARD_030
3.2 immutable gender differences and gender stereotypes,5,3,GLICK_FISKE_1996_ASI; SAGE_2017_AMBIVALENT_SEXISM; WHO_VAW_FACT_SHEET,5,EDOS_CARD_031; EDOS_CARD_032; EDOS_CARD_033; EDOS_CARD_034; EDOS_CARD_035
3.3 backhanded gendered compliments,5,2,GLICK_FISKE_1996_ASI; SAGE_2017_AMBIVALENT_SEXISM,5,EDOS_CARD_036; EDOS_CARD_037; EDOS_CARD_038; EDOS_CARD_039; EDOS_CARD_040
3.4 condescending explanations or unwelcome advice,5,4,BELL0TTI_2021_DOMESTIC_VIOLENCE_NETWORKS; GLICK_FISKE_1996_ASI; SAGE_2017_AMBIVALENT_SEXISM; WHO_VAW_FACT_SHEET,5,EDOS_CARD_041; EDOS_CARD_042; EDOS_CARD_043; EDOS_CARD_044; EDOS_CARD_045
4.1 supporting mistreatment of individual women,5,4,BELL0TTI_2021_DOMESTIC_VIOLENCE_NETWORKS; EU_PARL_2021_RESOLUTION_CYBERVIOLENCE; WHO_VAW_FACT_SHEET; WOMEN_HARM_JUSTICE_2023,5,EDOS_CARD_046; EDOS_CARD_047; EDOS_CARD_048; EDOS_CARD_049; EDOS_CARD_050
4.2 supporting systemic discrimination against women as a group,5,5,EU_DIRECTIVE_2024_1385; GREVIO_2021_DIGITAL_DIMENSION; UNFPA_2021_TFGBV; UN_WOMEN_2023_TFVAW; WHO_VAW_FACT_SHEET,5,EDOS_CARD_051; EDOS_CARD_052; EDOS_CARD_053; EDOS_CARD_054; EDOS_CARD_055
