primary_edos_label,num_cards,num_sources,card_ids
1.1 threats of harm,5,2,EPRS_2021_CYBERVIOLENCE_CANDIDATE | EPRS_2021_CYBERVIOLENCE_CANDIDATE | GREVIO_2021_DIGITAL_DIMENSION_1 | GREVIO_2021_DIGITAL_DIMENSION_CANDIDATE | EPRS_2021_CYBERVIOLENCE_CANDIDATE
1.2 incitement and encouragement of harm,5,1,EPRS_2021_CYBERVIOLENCE_CANDIDATE | EPRS_2021_CYBERVIOLENCE_CANDIDATE | EPRS_2021_CYBERVIOLENCE_CANDIDATE | EPRS_2021_CYBERVIOLENCE_CANDIDATE | EPRS_2021_CYBERVIOLENCE_CANDIDATE
2.1 descriptive attacks,5,2,GREVIO_2021_DIGITAL_DIMENSION_2.1_candidate | EPRS_2021_CYBERVIOLENCE_CANDIDATE | GREVIO_2021_DIGITAL_DIMENSION_2_1_candidate | EDOS_2.1_candidate | EDOS_2_1_Candidate
2.2 aggressive and emotive attacks,5,1,EPRS_2021_CYBERVIOLENCE_CANDIDATE | EPRS_2021_CYBERVIOLENCE_CANDIDATE | EPRS_2021_CYBERVIOLENCE_CANDIDATE | EPRS_2021_CYBERVIOLENCE_CANDIDATE | EPRS_2021_CYBERVIOLENCE_CANDIDATE
2.3 dehumanising attacks & overt sexual objectification,5,2,GREVIO_2021_DIGITAL_DIMENSION_CANDIDATE | EPRS_2021_CYBERVIOLENCE_CANDIDATE | EPRS_2021_CYBERVIOLENCE_CANDIDATE | GREVIO_2021_DIGITAL_DIMENSION_CANDIDATE | EPRS_2021_CYBERVIOLENCE_CANDIDATE
"3.1 casual use of gendered slurs, profanities, and insults",5,1,EPRS_2021_CYBERVIOLENCE_CASUAL_SLURS | EPRS_2021_CYBERVIOLENCE_CASUAL_USE | EPRS_2021_CYBERVIOLENCE_CASUAL_USE | EPRS_2021_CYBERVIOLENCE_CASUAL_SLURS | EPRS_2021_CYBERVIOLENCE_CASUAL_USE
3.2 immutable gender differences and gender stereotypes,5,3,COE_WE_CAN_3_2_candidate | EPRS_2021_CYBERVIOLENCE_CANDIDATE | GREVIO_2021_DIGITAL_DIMENSION_49 | EPRS_2021_CYBERVIOLENCE_CANDIDATE | EPRS_2021_CYBERVIOLENCE_CANDIDATE
3.3 backhanded gendered compliments,5,2,GREVIO_2021_DIGITAL_DIMENSION_3.3_candidate | GREVIO_2021_DIGITAL_DIMENSION_3.3_candidate | GREVIO_2021_DIGITAL_DIMENSION_3.3_candidate | EPRS_2021_CYBERVIOLENCE_C3 | CAND_2021_CYBERVIOLENCE
3.4 condescending explanations or unwelcome advice,5,2,GREVIO_2021_DIGITAL_DIMENSION_49 | GREVIO_2021_DIGITAL_DIMENSION_3.4_candidate | EPRS_2021_CYBERVIOLENCE_Candidate | EPRS_2021_CYBERVIOLENCE_CANDIDATE | EPRS_2021_CYBERVIOLENCE_Candidate
4.1 supporting mistreatment of individual women,5,1,EPRS_2021_CYBERVIOLENCE_CANDIDATE | EPRS_2021_CYBERVIOLENCE_CANDIDATE | EPRS_2021_CYBERVIOLENCE_CANDIDATE | EPRS_2021_CYBERVIOLENCE_CANDIDATE | EPRS_2021_CYBERVIOLENCE_CANDIDATE
4.2 supporting systemic discrimination against women as a group,5,2,EPRS_2021_CYBERVIOLENCE_CANDIDATE | EPRS_2021_CYBERVIOLENCE_CANDIDATE | EPRS_2021_CYBERVIOLENCE_CANDIDATE | COE_WE_CAN_4_2_candidate | EPRS_2021_CYBERVIOLENCE_CANDIDATE
